अँग्रेज़	̃grēz
अल्जीरियाई	ljīriyāī
अल्ट्रासाउंड	lṭrāsāuṇḍ
अल्टीमेटम	lṭīmēṭm
अल्ताफ़	ltāf
अल्पना	lpā
अल्पसंख्यक	lpsṁhy
अल्पसंख्यको	lpsṁhyō
अल्पसंख्यकों	lpsṁhyō̃
अल्पेश	lpēś
अल्फ़्रेद	lfrēd
अलबत्ता	lbttā
अलबम	lbm
अल्बर्ट	lbrṭ
अलबाब	lbāb
अल्युमिनियम	lyumiiym
अल्लामा	llāmā
अल्लाह	llāh
अलविदा	lvidā
अलाउद्दीन	lāuddī
अलायंस	lāyṁs
अलावा	lāvā
अलावी	lāvī
अली	lī
अलीगढ़	līgṛh
अलेक्जांडर	lējāṇḍr
अलेक्ज़ांडर	lēzāṇḍr
अलेक्जेंडर	lējēṇḍr
अलेक्ज़ेंडर	lēzēṇḍr
अलेक्ज़ेंड्रिया	lēzēṇḍriyā
अलेजांद्रो	lējādrō
अवकाश	vāś
अवकाशप्राप्त	vāśprāpt
अवगत	vgt
अवगुण	vguṇ
अवतार	vtār
अवध	vdh
अवधि	vdhi
अवधेश	vdhēś
अवनीत	vīt
अव्यवस्था	vyvsthā
अव्यवस्थित	vyvsthit
अवरुद्ध	vruddh
अवरोध	vrōdh
अवरोधक	vrōdh
अव्वल	vvl
अवश्य	vśy
अवशेष	vśēṣ
अवशेषे	vśēṣē
अवशेषों	vśēṣō̃
अवस्था	vsthā
अवस्थित	vsthit
अवस्थिति	vsthiti
अवसर	vsr
अवसाद	vsād
अवार्ड	vārḍ
अवार्ड्स	vārḍs
अविकसित	visit
अविनाश	viāś
अविश्वास	viśvās
अविस्मरणीय	vismrṇīy
अवेयर	vēyr
अवैध	vidh
अवॉर्ड	vôrḍ
अवॉर्ड्स	vôrḍs
अशर	śr
अशरफ	śrph
अशरफ़ुल	śrful
अशलील	ślīl
अश्लील	ślīl
अश्लीलता	ślīltā
अश्वेत	śvēt
अशांत	śāt
अशांति	śāti
अशिक्षा	śiṣā
अशिक्षित	śiṣit
अशिक्षितों	śiṣitō̃
अशीम	śīm
अशोक	śō
असंतुलन	stul
असंतुलित	stulit
असंभव	smbhv
असंवैधानिक	sṁvidhāi
असगर	sgr
अस्तित्त्व	stittv
अस्तित्व	stitv
अस्थाई	sthāī
अस्थाना	sthāā
अस्थायी	sthāyī
अस्थिरता	sthirtā
असद	sd
अस्पताल	sptāl
अस्पतालों	sptālō̃
असफल	sphl
असभ्यताओं	sbhytāō̃
असम	sm
असमंजस	smñjs
असमर्थता	smrthtā
असमानताओं	smātāō̃
असर	sr
असरदार	srdār
असरानी	srāī
असल	sl
असलियत	sliyt
असली	slī
अस्वीकार	svīār
अस्सी	ssī
असहनीय	shīy
असहाय	shāy
असाध्य	sādhy
असाधारण	sādhārṇ
असामाजिक	sāmāji
असामाजिकता	sāmājitā
असामान्य	sāmāy
असिस्ट्टेंट	sisṭṭēṇṭ
असिसटेंट	sisṭēṇṭ
असिस्टेड	sisṭēḍ
असीम	sīm
असुरक्षा	surṣā
असुरक्षित	surṣit
असुरक्षितःसर्वेक्षण	surṣitḥsrvēṣṇ
असेसमेंट	sēsmēṇṭ
असैनिक	sii
असॉल्ट	sôlṭ
अहद	hd
अहम	hm
अहमद	hmd
अहमदनगर	hmdgr
अहमदाबाद	hmdābād
अहमियत	hmiyt
अहलूवालिया	hlūvāliyā
अहसास	hsās
अहाते	hātē
अहिंसा	hĩsā
अहूजा	hūjā
आँएंगी	ā̃ēgī
आँकड़ा	ā̃ṛā
आँकड़े	ā̃ṛē
आँकड़ों	ā̃ṛō̃
आँका	ā̃ā
आँकी	ā̃ī
आँख	ā̃h
आँखें	ā̃hē̃
आँखो	ā̃hō
आँखों	ā̃hō̃
आँठ	ā̃ṭh
आँत	ā̃t
आँदोलन	ā̃dōl
आँध्र	ā̃dhr
आँफिस	ā̃phis
आँसू	ā̃sū
आंकड़ा	āṛā
आंकड़े	āṛē
आंकड़ें	āṛē̃
आंकड़ों	āṛō̃
आंका	āā
आंकी	āī
आंखे	ā̃hē
आंखों	ā̃hō̃
आंजी	āñjī
आंतरिक	ātri
आंद्रे	ādrē
आंदोलन	ādōl
आंदोलित	ādōlit
आंध्र	ādhr
आंध्रप्रदेश	ādhrprdēś
आंध्रा	ādhrā
आंधी	ādhī
आंशिक	ā̃śi
आइ	āi
आइंस्टाइन	āĩsṭāi
आइए	āiē
आइज़नर	āizr
आइडिया	āiḍiyā
आइडेंटीटीफ़िकेशन	āiḍēṇṭīṭīfiēś
आइसक्रीम	āisrīm
आई	āī
आईं	āī̃
आईआईटी	āīāīṭī
आईआईसी	āīāīsī
आईआर	āīār
आईएएस	āīēēs
आईएमएफ़	āīēmēf
आईएस	āīēs
आईओए	āīōē
आईओसी	āīōsī
आईजनहॉवर	āījhôvr
आईटी	āīṭī
आईना	āīā
आईने	āīē
आईनों	āīō̃
आईपीसीएल	āīpīsīēl
आईबीएम	āībīēm
आईलैंड	āīliṇḍ
आईसीसी	āīsīsī
आउट	āuṭ
आउटन	āuṭ
आउटसोर्सिंग	āuṭsōrsig
आए	āē
आएँ	āē̃
आएँगी	āē̃gī
आएँगे	āē̃gē
आएं	āē̃
आएगा	āēgā
आएगी	āēgī
आएशा	āēśā
आओ	āō
आकड़ों	āṛō̃
आकर	ār
आक्रमक	ārm
आक्रमण	ārmṇ
आकर्षक	ārṣ
आकर्षण	ārṣṇ
आकर्षित	ārṣit
आक्रामक	ārām
आक्रामकता	ārāmtā
आक्रोश	ārōś
आकलन	āl
आकस्मिक	āsmi
आका	āā
आकांक्षाओं	āāṣāō̃
आकार	āār
आकाश	āāś
आकाशगंगा	āāśggā
आकाशगंगाएँ	āāśggāē̃
आकाशगंगाओं	āāśggāō̃
आकाशवाणी	āāśvāṇī
आकाशेर	āāśēr
आखिर	āhir
आख़िर	ā̱ẖir
आखिरकार	āhirār
आख़िरकार	ā̱ẖirār
आखिरी	āhirī
आख़िरी	ā̱ẖirī
आग	āg
आग्रह	āgrh
आगरा	āgrā
आगरे	āgrē
आगले	āglē
आग़ा	āġā
आगामी	āgāmī
आगाह	āgāh
आगे	āgē
आगें	āgē̃
आगोश	āgōś
आघात	āghāt
आचरण	ācrṇ
आचार्य	ācāry
आचारसंहिता	ācārsṁhitā
आचे	ācē
आज	āj
आजकल	ājl
आजके	ājē
आजतक	ājt
आज़म	āzm
आजमगढ़	ājmgṛh
आज़मगढ़	āzmgṛh
आज़माइश	āzmāiś
आज़माई	āzmāī
आज़माए	āzmāē
आज़माकर	āzmār
आज़माना	āzmāā
आज़माया	āzmāyā
आज़मी	āzmī
आजा	ājā
आजातशत्रु	ājātśtru
आज़ाद	āzād
आज़ादी	āzādī
आज़ार	āzār
आज़िम	āzim
आजीवन	ājīv
आजीविका	ājīviā
आट्टो	āṭṭō
आठ	āṭh
आठवाँ	āṭhvā̃
आठवां	āṭhvā̃
आठवीं	āṭhvī̃
आठवें	āṭhvē̃
आड़	āṛ
आडवाणी	āḍvāṇī
आड़े	āṛē
आणविक	āṇvi
आतंक	āt
आतंकवाद	ātvād
आतंकवादियों	ātvādiyō̃
आतंकवादी	ātvādī
आतंरिक	ātṁri
आतकंकवाद	ātvād
आततायी	āttāyī
आत्मकथा	ātmthā
आत्मघाती	ātmghātī
आत्मजा	ātmjā
आत्मनिर्णय	ātmirṇy
आत्मनिर्भर	ātmirbhr
आत्मनिर्भरता	ātmirbhrtā
आत्मबल	ātmbl
आत्मरक्षा	ātmrṣā
आत्मविश्वास	ātmviśvās
आत्मसम्मान	ātmsmmā
आत्मसमर्पण	ātmsmrpṇ
आत्महत्या	ātmhtyā
आत्महत्याएँ	ātmhtyāē̃
आत्मा	ātmā
आत्मिक	ātmi
आत्मीयता	ātmīytā
आता	ātā
आतिशी	ātiśī
आती	ātī
आतुर	ātur
आते	ātē
आदत	ādt
आदतों	ādtō̃
आदम	ādm
आदमख़ोर	ādm̱ẖōr
आदमियों	ādmiyō̃
आदमी	ādmī
आदरणीय	ādrṇīy
आदर्श	ādrś
आदर्शवादी	ādrśvādī
आदर्शों	ādrśō̃
आदान	ādā
आदि	ādi
आदित्य	ādity
आदिम	ādim
आदिवासी	ādivāsī
आदी	ādī
आदेश	ādēś
आदेशों	ādēśō̃
आध्यात्मिक	ādhyātmi
आधा	ādhā
आधाकारिक	ādhāāri
आधार	ādhār
आधारशिला	ādhārśilā
आधारहीन	ādhārhī
आधारित	ādhārit
आधिकारिक	ādhiāri
आधी	ādhī
आधुकनिकता	ādhuitā
आधुनिक	ādhui
आधुनिकतम	ādhuitm
आधुनिकीकरण	ādhuiīrṇ
आधे	ādhē
आनंद	ād
आन्दोलन	ādōl
आनन	ā
आना	āā
आनी	āī
आनुवंशिक	āuvṁśi
आने	āē
आप	āp
आपका	āpā
आपकी	āpī
आपके	āpē
आपको	āpō
आप्टे	āpṭē
आपत्ति	āptti
आपत्तिजनक	āpttij
आपता	āptā
आपदा	āpdā
आपदाएं	āpdāē̃
आपदाओं	āpdāō̃
आपने	āpē
आपबीती	āpbītī
आप्रवासियों	āprvāsiyō̃
आपराधिक	āprādhi
आपराधों	āprādhō̃
आपरेशन	āprēś
आपस	āps
आपसी	āpsī
आपसे	āpsē
आपात	āpāt
आपातकालीन	āpātālī
आपाधापी	āpādhāpī
आपास	āpās
आपूर्ति	āpūrti
आफ़्टरगुड	āfṭrguḍ
आफ़्टरवुड	āfṭrvuḍ
आफ़त	āft
आफ़ताब	āftāb
आफ़तें	āftē̃
आबाद	ābād
आबादियों	ābādiyō̃
आबादी	ābādī
आभार	ābhār
आभारी	ābhārī
आम	ām
आमजन	āmj
आमतौर	āmtur
आमद	āmd
आमदनी	āmdī
आमने	āmē
आमबैठक	āmbiṭh
आमालों	āmālō̃
आमिर	āmir
आय	āy
आयतुल्ला	āytullā
आयरलैंड	āyrliṇḍ
आयरलैड	āyrliḍ
आयर्स	āyrs
आयशा	āyśā
आया	āyā
आयाज़	āyāz
आयात	āyāt
आयाम	āyām
आयी	āyī
आयु	āyu
आयुक्त	āyut
आयुक्तों	āyutō̃
आयें	āyē̃
आयेगा	āyēgā
आयेगी	āyēgī
आयोग	āyōg
आयोजक	āyōj
आयोजकों	āyōjō̃
आयोजन	āyōj
आयोजनों	āyōjō̃
आयोजित	āyōjit
आर	ār
आरंभ	ārmbh
आरआईएल	ārāīēl
आरएसएस	ārēsēs
आरक्षण	ārṣṇ
आरक्षित	ārṣit
आरके	ārē
आर्चबिशप	ārcbiśp
आरजेडी	ārjēḍī
आर्ट	ārṭ
आर्टिमियो	ārṭimiyō
आरटीएस	ārṭīēs
आर्डर	ārḍr
आर्थर	ārthr
आर्थिक	ārthi
आर्द्र	ārdr
आर्दशों	ārdśō̃
आर्नल्ड	ārlḍ
आरम्भ	ārmbh
आर्मी	ārmī
आर्यों	āryō̃
आर्सनल	ārsl
आरसी	ārsī
आराम	ārām
आरामदायक	ārāmdāy
आरामदेह	ārāmdēh
आरिफ	āriph
आरिफ़	ārif
आरोप	ārōp
आरोपो	ārōpō
आरोपों	ārōpō̃
आलम	ālm
आला	ālā
आलीशान	ālīśā
आले	ālē
आलेख	ālēh
आलोक	ālō
आलोचक	ālōc
आलोचकों	ālōcō̃
आलोचना	ālōcā
आलोचनाओं	ālōcāō̃
आलोचनात्मक	ālōcātm
आवभागत	āvbhāgt
आवरण	āvrṇ
आवश्यक	āvśy
आवश्यकता	āvśytā
आवागमन	āvāgm
आवाज़	āvāz
आवाजाही	āvājāhī
आवाज़े	āvāzē
आवाजें	āvājē̃
आवाज़ें	āvāzē̃
आवाज़ों	āvāzō̃
आविष्कार	āviṣār
आवेग	āvēg
आवेदन	āvēd
आवेश	āvēś
आशंका	āśā
आशंकाएँ	āśāē̃
आशंकाएं	āśāē̃
आशंकाओं	āśāō̃
आश्चर्य	āścry
आश्चर्यचकित	āścrycit
आश्चर्यजनक	āścryj
आशय	āśy
आश्रम	āśrm
आश्रित	āśrit
आश्वस्त	āśvst
आश्वासन	āśvās
आशा	āśā
आशाओं	āśāō̃
आशान्वित	āśāvit
आशावादी	āśāvādī
आशियाना	āśiyāā
आशीर्वाद	āśīrvād
आशीष	āśīṣ
आशुतोष	āśutōṣ
आस	ās
आस्ट्रिया	āsṭriyā
आस्ट्रेलियन	āsṭrēliy
आस्ट्रेलिया	āsṭrēliyā
आस्ट्रेलियाई	āsṭrēliyāī
आस्था	āsthā
आस्थाएँ	āsthāē̃
आसपास	āspās
आसमान	āsmā
आसरा	āsrā
आसरे	āsrē
आसान	āsā
आसानी	āsāī
आसार	āsār
आसिफ़	āsif
आसियान	āsiyā
आसीन	āsī
आहत	āht
आहवान	āhvā
आह्वान	āhvā
आहिस्ता	āhistā
इंकार	iār
इंकोरपोरेटेड	iōrpōrēṭēḍ
इंगरसोल	igrsōl
इंग्लिश	igliś
इंगलैंड	igliṇḍ
इंग्लैंड	igliṇḍ
इंग्लैड	igliḍ
इंच	iñc
इंजन	iñj
इंजनों	iñjō̃
इंज़माम	ĩzmām
इंजीनियर	iñjīiyr
इंजीनियरों	iñjīiyrō̃
इंजेक्शन	iñjēś
इंटर	iṇṭr
इंटरने	iṇṭrē
इंटरनेट	iṇṭrēṭ
